tweetMentah,,
""" @gojekindonesia Lalu, tlp saya matikan. Dia coba tlp berkali2. Tapi saya diamkan saja. Yg saya herankan, sms nya ad https://",co/G,"NiazerhFF"""
@gojekindonesia nomor resinya kan udah berubah ubah. Dan tadi sore udah dibatalin lagi. Apa gunanya saya pake gojek kl dr tgl,zumz,"IgYI8W"""
"""Mao naek gojek..  : Neng maaf ya helmnya agak lembab sedikit, hujan soalnya tadi. : Iya pak ga papa. Gw pake lah https://t.co",Ho70,"Y"""
"""Pagi2 mamakku sudah bikin kehebohan. Pesen gojek sendiri tapi yang dateng 3 gojek , tiga-tiganya udah nunggu depan https://t.",t.co,"/bzFgsIDm6E"""
"""Kenapa ya app WA, Twitter, sm Gojek gabisa dipindah ke external storage? Samsung kan pelit internal storage jd  https://t.co/",dung,"gitu pake"""
"""RT @Axelgio4: Ahh babang gojek bule, daripada tidur meluk motor kan mending peluk aku bang. Yukk sini bang https://t.co/MMlbV",o70Y,""""
"""Di jalan liat ada pengendara motor jatoh, lalu bapak gojek yg nganter gw bilang """"berhenti sebentar ya mbak, saya ba https://",,
"""RT @Ladrinaline: Ada yang tau ga, kirim paket makanan one day service selain gojek kalo ke Tangerang, Depok, Bogor, sampe Ban",,
"""T @Axelgio4: Ahh babang gojek bule, daripada tidur meluk motor kan mending peluk aku bang. Yukk sini bang https://t.co/MMlbVH",,
@gojek_jkt_0715 @budakgojek @DriverGojekPro @YoGojekYo Pin yg terbuat dari Kevlar..,,
"""Kerena semenjak di endorse pwj ama ldh, gojek naikin tarif :v https://t.co/Y7GsprOvvJ""",,
"""@PEMBIMBINGUTAMA Mungkin sudah ditunggu Gojek, pak!""",saya,"#Jakarta"""
@gojekindonesia @baetirohmah Ah mahal gojek skrg:((((((,obro,"l"""
@shxxxbl113 So it 17. Okay!! Kalo liat lo gue jadi inget bapak gojek yang nyebutin dia kerja di mana. Ffffffff,,
""" @gojekindonesia selamat malam Gojek, boleh minta bantuannya unt tgl 17feb transaksi saya pada pagi hari ke kfc.. karna akan",,
"""gue lagi nunggu kan, nah disitu tuh ada abang gojek, doi nanya jam ya gue jawab aja lah terus gue random entah kenapa jadi ng",,
"""@Felise7en abisnya jauh fel dari mampang mau ke bkasi. nangis aku kalau naik gojek, berat di ongkos dan gosong huhuhu""",,
"""Pelecehan Seksual oleh Driver Gojek, Bisa Dipecat https://t.co/TvQlVUk2s6""",o/Et,tk2JgwhL
@alitalit_ diajak tiduran mendadak neng aspal karo pak gojek...,saya,"#Jakarta"""
@cheoleopseo Hebat banget kepencetnya order gojek,,
Kesimpulan macam apa yg bisa diambil kalau 80%an populasi driver Gojek punya rating 4.7-5 ? Mereka semua excellent https://t.c,o/Vp,qEbvyHv1
""" @gojekindonesia selamat malam Gojek, boleh minta bantuannya unt tgl 17feb transaksi saya pada pagi hari ke kfc.. karna akan",,
RT @susahbet: kenaikan tarif gojek udah ada di tahap uninstall-aja-lah-mending-aq-pake-grab,,
gojek sy galau. Td siang anter paket ke Polri. Hrs lepas jaket. Uang cashnya di sana Si penerima harus bayar 40rb. https://t.c,,
Sy br sj dpt tlp penipuan yg mengaku gojek dan meminta pin gopay. Pls fu! @gojekindonesia,,
@gojekindonesia pagi2 aplikasi gojek driver sdh error...pembayaran gopay blm masuk...point yg didapat juga blm ditambahkan....,,
Lucu gak gaes dari bct ke umm tapi naik gojek. U have to know sik bct sisih endi tapi. Aku lelah berjalan kaki 20 menit :(,.co/,"Eb12RHFEMM"""
@gojekindonesia ini masalah orderan gojek gimama ya min? Ko eror gini?,.co/,"oNgjBROith"""
"""Driver Gojek Wajib Baca, Ini 5 Modus Penipuan Terhadap ?Driver https://t.co/oM9NRVgkC0""",co/M,"0uCiAjSNA"""
""" @gojek_jkt_0715 @TMCPoldaMetro @BareskrimPolri Ternyata bener dr bri....b ni, barusa. Ane dpt bc, nanti malam sele https://t",,
"""Cuaca terik, w buka aplikasi Gojek dan Go-Send kabel charger yang ketinggalan. Begitu dapat driver, hujan turun den https://t",,
""" @gojekindonesia hi, barusan saya terima telfon dari 081238213362 yang berusaha melakukan penipuan atas nama gojek https://t.",,
@ditharmoechtar Sekarang juga bisa tapi melibatkan gojek.. Hehe,DKtO,"7bQdgq"""
Kenapa gosend/grabsend lebih mahal daripada gojek/grabbike? Kan bawa barang lebih enteng daripada bawa orang,ah,
@alizmataku Kasian abang gojek entar ditilang terus?? go food saya gak sampe sampe entar,,
